,Unnamed: 0,varname,number_of_spaces,firstCharisLetter,argument,varlength,datatype,vartype,projectid
715,8785,LightN,0,True,-999,6,int,string,16661984
716,8821,LightS,0,True,-999,6,int,string,16661984
717,8825,LightW,0,True,-999,6,int,string,16661984
718,8842,LightE,0,True,-999,6,int,string,16661984
724,8994,pr_tool,0,True,z,7,char,string,16661984
729,9114,data2,0,True,1,5,int,string,16661984
735,9330,ii_c,0,True,1,4,int,string,16661984
736,9423,_Health_s,0,False,0,9,int,string,16661984
740,9516,X,0,True,X,1,list,char,16661984
746,9796,t_pr,0,True,0,4,int,string,16661984
747,9844,data,0,True,1,4,int,string,16661984
748,9845,invIdx_c,0,True,0,8,int,string,16661984
756,9951,refIt_pr,0,True,1,8,int,string,16661984
761,10244,_ticks,0,False,1,6,int,string,16661984
763,10297,_ScrX,0,False,6,5,int,string,16661984
766,10315,nextSecond,0,True,0.5,10,float,string,16661984
769,10326,_tickTime,0,False,0.0333,9,float,string,16661984
773,10341,_ClearHarvestIdx,0,False,0,16,int,string,16661984
774,10342,_LightProb,0,False,2,10,int,string,16661984
775,10352,_Explode,0,False,_Explode,8,list,string,16661984
784,10455,_DEBUG,0,False,off,6,string,string,16661984
787,10470,_MobSpawn,0,False,_MobSpawn,9,list,string,16661984
789,10532,lastrand,0,True,0,8,int,string,16661984
791,10567,randval,0,True,-2147483645,7,int,string,16661984
793,10624,ok,0,True,0,2,int,string,16661984
799,10753,_RandomSeed,0,False,0,11,int,string,16661984
801,10767,sequence,0,True,sequence,8,list,string,16661984
823,10907,t_co,0,True,0,4,int,string,16661984
825,10962,toFront,0,True,1,7,int,string,16661984
828,10985,i_co,0,True,1,4,int,string,16661984
830,11005,count,0,True,-1,5,int,string,16661984
836,11036,_SAVE_LIST,0,False,_SAVE_LIST,10,list,string,16661984
838,11089,Counts,0,True,Counts,6,list,string,16661984
840,11095,sg_n,0,True,1,4,int,string,16661984
842,11109,sg_i,0,True,1,4,int,string,16661984
843,11120,sg_count,0,True,1,8,int,string,16661984
862,11265,sg_str,0,True,Press N to write on this sign,6,string,string,16661984
883,11386,_CHUNK_SEED,0,False,0,11,int,string,16661984
884,11387,SaveChunks,0,True,SaveChunks,10,list,string,16661984
888,11393,savIdx,0,True,1,6,int,string,16661984
890,11411,Slice,0,True,Slice,5,list,string,16661984
895,11458,sg_format,0,True,2,9,int,string,16661984
903,11544,savChkIdx,0,True,2,9,int,string,16661984
906,11589,sg_ts_i,0,True,66,7,int,string,16661984
911,11632,chunkStart,0,True,1,10,int,string,16661984
913,11675,_respawnSeed,0,False,0,12,int,string,16661984
919,11734,sg_tile,0,True,0,7,int,string,16661984
922,11737,break,0,True,0,5,int,string,16661984
929,11793,sg_tileIdx,0,True,2,10,int,string,16661984
970,12077,Example Words,1,True,Example Words,13,list,string,16661984
985,12179,LoadingChunk,0,True,0,12,int,string,16661984
997,12318,_Chars,0,False," !*#$%&'()*+,-.\/0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\]^_`abcdefghijklmnopqrstuvwxyz{|}~",6,string,string,16661984
1012,12511,token,0,True,0,5,int,string,16661984
1014,12548,newTime,0,True,1200,7,int,string,16661984
1016,12567,#,0,False,#,1,list,symbol,16661984
1031,12642,_XRAY,0,False,0,5,int,string,16661984
1049,12946,isBlock_c,0,True,0,9,int,string,16661984
1051,12962,fightIdx,0,True,0,8,int,string,16661984
1052,13022,i_c,0,True,20.0,3,float,string,16661984
1053,13023,newTip,0,True,0,6,int,string,16661984
1055,13033,lastX_c,0,True,0,7,int,string,16661984
1066,13227,lArm,0,True,0.01,4,float,string,16661984
1067,13235,BowPull,0,True,0.001,7,float,string,16661984
1075,13302,elapse,0,True,0,6,int,string,16661984
1076,13309,wasMode,0,True,-1,7,int,string,16661984
1077,13310,digIdx,0,True,0,6,int,string,16661984
1078,13314,_Eating,0,False,-1,7,int,string,16661984
1084,13359,justPlacedIdx,0,True,0,13,int,string,16661984
1087,13362,_FoodMul,0,False,7,8,int,string,16661984
1088,13363,_Max_Reach,0,False,3.5,10,float,string,16661984
1090,13365,lArmTick,0,True,0,8,int,string,16661984
1115,13576,lastArmSoundTick,0,True,8,16,int,string,16661984
1151,14368,xx,0,True,1,2,int,string,16661984
1157,14455,digEnd,0,True,0.001,6,float,string,16661984
1177,14817,yy,0,True,-1,2,int,string,16661984
1179,14846,data3,0,True,0,5,int,string,16661984
1180,14869,buttonID,0,True,0,8,int,string,16661984
1181,14870,buttonMax,0,True,2,9,int,string,16661984
1188,14930,showFlyMode,0,True,0,11,int,string,16661984
1195,15070,cloneAsID,0,True,1,9,int,string,16661984
1196,15071,MobCount,0,True,0,8,int,string,16661984
1200,15192,time,0,True,-0.03125,4,float,string,16661984
1207,15388,ID,0,True,-1,2,int,string,16661984
1208,15516,dist,0,True,4,4,int,string,16661984
1209,15520,choice,0,True,10,6,int,string,16661984
1216,15613,MobPool,0,True,MobPool,7,list,string,16661984
1229,15719,_MaxMobs,0,False,-1,8,int,string,16661984
1230,15720,_MaxMobsBad,0,False,-1,11,int,string,16661984
1233,15802,isBlockP,0,True,1,8,int,string,16661984
1235,15829,light_p,0,True,15,7,int,string,16661984
1236,15855,typP,0,True,113,4,int,string,16661984
1279,16743,_NextSpawn,0,False,0,10,int,string,16661984
1286,16842,Get Direction?,1,True,90,14,int,string,16661984
1308,17054,halfY_P,0,True,0.4,7,float,string,16661984
1317,17089,hurtingP,0,True,0,8,int,string,16661984
1319,17095,ofy_p,0,True,0,5,int,string,16661984
1326,17186,spwn_Idxs,0,True,spwn_Idxs,9,list,string,16661984
1330,17310,tileIdxP,0,True,0,8,int,string,16661984
1331,17312,_MobMul,0,False,18,7,int,string,16661984
1335,17316,_SpawnArea,0,False,45,10,int,string,16661984
1336,17418,maxStack,0,True,1,8,int,string,16661984
1339,17665,_DragSrcID,0,False,0,10,int,string,16661984
1340,17669,InvPosID,0,True,1,8,int,string,16661984
1342,17695,InvID,0,True,0,5,int,string,16661984
1344,17715,siit,0,True,#,4,char,string,16661984
1345,17767,ix,0,True,1,2,int,string,16661984
1346,17768,_InsideIdx,0,False,0,10,int,string,16661984
1367,17921,i_iv,0,True,37,4,int,string,16661984
1369,17948,_Mode,0,False,x,5,char,string,16661984
1378,18051,Drop_One,0,True,0,8,int,string,16661984
1380,18056,spaceDown,0,True,0,9,int,string,16661984
1394,18157,_TempStore,0,False,_TempStore,10,list,string,16661984
1401,18211,drop_item,0,True,0,9,int,string,16661984
1405,18215,changeMode,0,True,0,10,int,string,16661984
1429,18440,CraftMul,0,True,99999,8,int,string,16661984
1434,18524,x2,0,True,10,2,int,string,16661984
1447,18649,progress,0,True,1,8,int,string,16661984
1448,18654,nxtProgress,0,True,1,11,int,string,16661984
1456,18786,lastAir,0,True,-1,7,int,string,16661984
1458,18843,dir_s,0,True,-1,5,int,string,16661984
1464,18906,_AirLevel,0,False,1,9,int,string,16661984
1466,18916,t_s,0,True,N,3,char,string,16661984
1472,18966,InLava,0,True,-15,6,int,string,16661984
1475,18994,jumpHeld,0,True,0,8,int,string,16661984
1476,19012,_respawnIdx,0,False,-1,11,int,string,16661984
1477,19023,_sy,0,False,0,3,int,string,16661984
1479,19037,isBlock_s,0,True,10,9,int,string,16661984
1482,19057,custumeWalk,0,True,1,11,int,string,16661984
1484,19059,IsFlyMode,0,True,0,9,int,string,16661984
1485,19060,light,0,True,0,5,int,string,16661984
1486,19061,_sx,0,False,0,3,int,string,16661984
1489,19064,doJump,0,True,0,6,int,string,16661984
1490,19065,onLadder,0,True,0,8,int,string,16661984
1491,19066,onWall,0,True,0,6,int,string,16661984
1492,19067,onFloor,0,True,0,7,int,string,16661984
1493,19068,fallHeight_s,0,True,0,12,int,string,16661984
1495,19070,healthRegen,0,True,0,11,int,string,16661984
1497,19072,_KnockBack,0,False,0,10,int,string,16661984
1499,19074,lastJumpPress,0,True,0,13,int,string,16661984
1503,19131,i_s,0,True,1,3,int,string,16661984
1504,19182,PortalTime,0,True,-1,10,int,string,16661984
1511,19238,inWater,0,True,L,7,char,string,16661984
1514,19321,stuck_s,0,True,9,7,int,string,16661984
1515,19366,ly,0,True,0.5,2,float,string,16661984
1516,19383,lx,0,True,0.999,2,float,string,16661984
1523,19494,lastWalkStep,0,True,6,12,int,string,16661984
1525,19536,_SteveLight,0,False,1,11,int,string,16661984
1534,19640,walkFrame,0,True,8,9,int,string,16661984
1553,19794,_y,0,False,-1,2,int,string,16661984
1556,19877,isBlock_y,0,True,0.5,9,float,string,16661984
1628,20075,offset,0,True,0,6,int,string,16661984
1633,20233,endSpeak,0,True,0,8,int,string,16661984
1639,20327,wait,0,True,0,4,int,string,16661984
1644,20533,refIdx_t,0,True,N,8,char,string,16661984
1645,20537,sx,0,True,-0.1,2,float,string,16661984
1651,20590,StuckIn,0,True,0,7,int,string,16661984
1653,20631,iy,0,True,20,2,int,string,16661984
1659,20691,c,0,True,#,1,char,char,16661984
1667,20889,i_ii,0,True,64,4,int,string,16661984
1689,21148,CloneAsID,0,True,-1,9,int,string,16661984
1694,21199,offset_ii,0,True,259,9,int,string,16661984
1707,21398,lightMod,0,True,15,8,int,string,16661984
1709,21438,_BLOCK_DATA,0,False,-99999,11,list,string,16661984
1711,21508,i_t,0,True,1,3,int,string,16661984
1730,21688,LastArmour,0,True,0,10,int,string,16661984
1731,21689,_DefenseMul,0,False,1,11,int,string,16661984
1733,21702,DefensePoints,0,True,0,13,int,string,16661984
1734,21703,l,0,True,73,1,int,char,16661984
1740,21781,BackArm,0,True,1,7,int,string,16661984
1745,21914,lastHealth,0,True,0,10,int,string,16661984
1747,22259,length,0,True,1,6,int,string,17647115
1749,22266,Written,0,True,Written,7,list,string,17647115
1751,22273,counter,0,True,0,7,int,string,17647115
1755,22360,Storage,0,True,20,7,int,string,17647115
1756,22361,Bugs,0,True,0,4,int,string,17647115
1757,22363,Installed apps,1,True,Installed apps,14,list,string,17647115
1758,22364,Crash,0,True,Crash,5,list,string,17647115
1771,22513,Note no.,1,True,1,8,int,string,17647115
1774,22538,Close app store?,2,True,0,16,int,string,17647115
1777,22556,App commands,1,True,App commands,12,list,string,17647115
1791,22693,Version,0,True,1.1,7,float,string,17647115
1794,22715,ready to start?,2,True,0,15,int,string,17647115
1799,22842,VelocityY,0,True,1,9,int,string,18312831
1807,22919,VelocityX,0,True,-1,9,int,string,18312831
1812,23132,NUMBER,0,True,1,6,int,string,18560469
1813,23161,num,0,True,0,3,int,string,18560469
1816,23276,kills,0,True,1,5,int,string,18560642
1817,23407,pts,0,True,0,3,int,string,18763210
1818,23408,strikes,0,True,0,7,int,string,18763210
1821,23638,gracz 1,1,True,0,7,int,string,18806652
1823,23647,gracz 2,1,True,0,7,int,string,18806652
1826,23702,flaps,0,True,1,5,int,string,18851372
1830,23750,??????????????,0,False,1,14,int,string,18856080
1836,23827,????????????????X,0,False,0,17,int,string,18856080
1837,23828,????????????????Y,0,False,0,17,int,string,18856080
1845,24291,coins,0,True,0,5,int,string,19531164
1849,24438,pie,0,True,1,3,int,string,19589342
1850,24460,pen,0,True,0,3,int,string,19589342
1855,25047,velocityx,0,True,-1,9,int,string,20708751
1857,25055,velocityy,0,True,1,9,int,string,20708751
1861,25078,HighScore,0,True,37,9,int,string,20708751
1863,25269,Yv,0,True,-0.5,2,float,string,21114832
1864,25273,Xv,0,True,0.7,2,float,string,21114832
1869,25406,lives,0,True,5,5,int,string,21482185
1871,25487,timer,0,True,30,5,int,string,21532395
1874,25496,Speed,0,True,5,5,int,string,21532395
1888,25704,?????????????????????,0,False,20,21,int,string,21672166
1890,25712,????????????,0,False,0,12,int,string,21672166
1905,25931,Camera_HowFarAwayShouldSpritesBe100,0,True,100,35,int,string,21890116
1906,25932,Camera_FOV,0,True,35,10,int,string,21890116
1907,25933,Camera_X,0,True,0,8,int,string,21890116
1908,25934,Camera_Y,0,True,0,8,int,string,21890116
1909,25935,Camera_Angle,0,True,0,12,int,string,21890116
1912,26361,CreeperSpawned,0,True,no,14,string,string,21890116
1913,26362,Attacking player,1,True,no,16,string,string,21890116
1915,26443,Chest,0,True,off,5,string,string,21890116
1916,26448,chest,0,True,on,5,string,string,21890116
1917,26524,Inventory,0,True,off,9,string,string,21890116
1921,26687,heath,0,True,-1,5,int,string,21890116
1923,28070,hand,0,True,bucket,4,string,string,21890116
1925,28080,Walking?,0,True,no,8,string,string,21890116
1926,28081,WOOD:,0,True,0,5,int,string,21890116
1927,28082,Hand,0,True,yes,4,string,string,21890116
1928,28083,Wristband on?,1,True,yes,13,string,string,21890116
1930,28085,change,0,True,no,6,string,string,21890116
1933,28109,FootstepCycle,0,True,7,13,int,string,21890116
1962,28328,menu,0,True,on,4,string,string,21890116
1970,28693,desert,0,True,off,6,string,string,21890116
1971,28694,set fire off on everything,4,True,1,26,int,string,21890116
1985,28874,Playing,0,True,yes,7,string,string,21890116
1987,29073,Alarm,0,True,0,5,int,string,21915960
1990,29452,Timer On,1,True,0,8,int,string,21915960
1993,29891,??? Who have pass the parking test,6,False,0,34,int,string,22175345
1994,30189,??? Pass the test,3,False,0,17,int,string,22175345
2017,30696,$,0,False,0,1,int,symbol,22890514
2043,31103,XLox,0,True,1,4,int,string,23341439
2044,31104,YLox,0,True,1,4,int,string,23341439
2049,31347,Time,0,True,0,4,int,string,23476512
2051,31416,Variable,0,True,0,8,int,string,23809738
2052,31543,area y,1,True,0,6,int,string,23830376
2055,31550,xvel,0,True,0,4,int,string,23830376
2056,31551,yvel,0,True,0,4,int,string,23830376
2057,31552,d,0,True,90,1,int,char,23830376
2067,31698,YrotX,0,True,0,5,int,string,23887080
2068,31730,w,0,True,0,1,int,char,23887080
2069,31731,Flashlight?,0,True,1,11,int,string,23887080
2070,31732,Battery Life,1,True,100,12,int,string,23887080
2071,31733,Caught by Slenderman?,2,True,0,21,int,string,23887080
2072,31734,Pages Collected,1,True,0,15,int,string,23887080
2073,31735,O.O,0,True,0,3,int,string,23887080
2074,31736,Stamina,0,True,100,7,int,string,23887080
2075,31737,FOV,0,True,200,3,int,string,23887080
2076,31739,AngleX,0,True,0,6,int,string,23887080
2077,31740,AngleY,0,True,0,6,int,string,23887080
2078,31745,yt,0,True,0,2,int,string,23887080
2081,31770,Light Dist,1,True,0,10,int,string,23887080
2090,31862,walkspeed,0,True,25,9,int,string,23887080
2091,31931,Heartrate BPM,1,True,-0.5,13,float,string,23887080
2092,31940,Daytime?,0,True,0,8,int,string,23887080
2093,31941,OSS,0,True,0,3,int,string,23887080
2094,31944,play,0,True,0,4,int,string,23887080
2095,31956,Heartbeat?,0,True,1,10,int,string,23887080
2103,31987,FPS,0,True,1,3,int,string,23887080
2105,31994,static_end,0,True,static_end,10,list,string,23887080
2106,32026,_#,0,False,0,2,int,string,23887080
2107,32027,parentSprite,0,True,1,12,int,string,23887080
2108,32028,loading,0,True,0,7,int,string,23887080
2109,32045,_Y,0,False,0,2,int,string,23887080
2110,32103,SlenderNearby,0,True,0,13,int,string,23887080
2112,32206,Collision Dir,1,True,-90,13,int,string,23887080
2117,32282,_size_factor,0,False,15,12,int,string,23887080
2120,32319,_Distance,0,False,3,9,int,string,23887080
2123,32362,picked,0,True,picked,6,list,string,23887080
2124,32363,tree X,1,True,tree X,6,list,string,23887080
2125,32364,tree Z,1,True,tree Z,6,list,string,23887080
2126,32365,stars,0,True,stars,5,list,string,23887080
2132,32573,_i,0,False,1,2,int,string,23887080
2136,32661,Use Mouse for Looking?,3,True,1,22,int,string,23887080
2146,33264,Backdrop,0,True,1,8,int,string,24084689
2160,33407,Time.,0,True,-1,5,int,string,24390947
2162,33614,number total,1,True,0,12,int,string,24390947
2163,33615,operation,0,True,plus,9,string,string,24390947
2166,33659,numbers used,1,True,1,12,int,string,24390947
2167,33660,decimal?,0,True,1,8,int,string,24390947
2415,35764,Beef\/Burger,0,True,2,12,int,string,24636049
2419,35822,Potatoes\/chips,0,True,3,15,int,string,24636049
2424,35895,money,0,True,-200,5,int,string,24636049
2428,35932,$$$,0,False,0,3,int,string,24636049
2430,35939,am\/pm,0,True,am,6,string,string,24636049
2431,35940,time2,0,True,0,5,int,string,24636049
2441,36144,3,0,False,1,1,int,int,24636049
2444,36165,6,0,False,1,1,int,int,24636049
2447,36186,5,0,False,1,1,int,int,24636049
2450,36207,4,0,False,1,1,int,int,24636049
2453,36224,1,0,False,1,1,int,int,24636049
2472,36550,time of day,2,True,night,11,string,string,24637739
2475,36613,extra $,1,True,50,7,int,string,24637739
2477,36637,Town Rating,1,True,0,11,int,string,24637739
2515,37472,Lives,0,True,9,5,int,string,24640285
2516,37483,VelocX,0,True,1,6,int,string,24640285
2518,37492,VelocY,0,True,1,6,int,string,24640285
2522,37605,napis on\/off,1,True,on,13,string,string,24649469
2529,37627,strona,0,True,poczatek,6,string,string,24649469
2596,38596,_Light2,0,False,_Light2,7,list,string,24694037
2802,41382,go?,0,True,0,3,int,string,24694037
2887,42176,??? Slot_1,1,False,1,10,int,string,24694037
2888,42177,??? Slot_ID,1,False,1,11,int,string,24694037
2889,42182,??? Slot_2,1,False,1,10,int,string,24694037
2891,42188,??? Slot_3,1,False,1,10,int,string,24694037
2893,42194,??? Slot_4,1,False,1,10,int,string,24694037
2895,42200,??? Slot_ 5,2,False,1,11,int,string,24694037
3015,43881,dur_iv,0,True,60,6,int,string,24694037
3716,50233,tree crashies,1,True,1,13,int,string,24771716
3718,50291,?????????,0,False,10,9,int,string,24900909
3724,50462,lifes,0,True,-1,5,int,string,24953287
3725,50469,points,0,True,1,6,int,string,24953287
3726,50540,gold,0,True,1,4,int,string,24953287
3729,50583,difficulty,0,True,1,10,int,string,24953287
3739,50730,sokinejimas,0,True,0,11,int,string,24969221
3743,50790,??? High score,2,False,0,14,int,string,24993228
3744,50846,Y velocity,1,True,0.2,10,float,string,24993228
3749,50892,X velocity,1,True,1,10,int,string,24993228
3755,50965,Taste,0,True,1,5,int,string,24993228
3762,51097,Life,0,True,-1,4,int,string,25020672
3765,51180,Scroll,0,True,0,6,int,string,25020672
3770,51343,Kind Of,1,True,Defualt,7,string,string,25076484
4009,53359,Caverns,0,True,Caverns,7,list,string,25142995
4356,59754,_Mob100,0,False,1,7,int,string,25142995
4362,59876,stateP,0,True,2,6,int,string,25142995
4387,60412,Allegiance,0,True,1,10,int,string,25142995
4395,60635,_MDMUL,0,False,13,6,int,string,25142995
4910,65574,_ToolTipID,0,False,0,10,int,string,25142995
4912,65653,_ToolTipWait,0,False,0,12,int,string,25142995
5429,73107,Horizontal (X),1,True,8,14,int,string,25147453
5431,73142,Gravity,0,True,0,7,int,string,25147453
5436,73337,save list,1,True,save list,9,list,string,25240321
5444,73422,bv nbhjghjg,1,True,1,11,int,string,25240321
5446,73472,Message,0,True,Message,7,list,string,25240321
5449,73484,counting,0,True,1,8,int,string,25240321
5450,73485,derp,0,True,2,4,int,string,25240321
5473,73615,copy and paste me,3,True,copy and paste me,17,list,string,25240321
5476,73645,Text Encoder,1,True,Text Encoder,12,list,string,25240321
5482,73680,a,0,True,1,1,int,char,25240321
5494,73790,yNopeus,0,True,-0.2,7,float,string,25320277
5496,73829,Pisteet:,0,True,0,8,int,string,25320277
5503,74281,yer,0,True,0,3,int,string,25395006
5505,74312,YEA,0,True,0,3,int,string,25395006
5507,74519,pdw,0,True,o,3,char,string,25395006
5509,74556,upd,0,True,k,3,char,string,25395006
5511,74574,fly,0,True,no,3,string,string,25395006
5513,74685,left,0,True,0,4,int,string,25395006
5514,74686,right,0,True,0,5,int,string,25395006
5519,74722,frwrd,0,True,f,5,char,string,25395006
5520,74862,k,0,True,y,1,char,char,25395006
5522,75059,leftEarth?,0,True,0,10,int,string,25406890
5523,75060,backToEarth,0,True,0,11,int,string,25406890
5526,75101,gameStatus,0,True,1,10,int,string,25406890
5534,75255,level,0,True,1,5,int,string,25473707
5549,75363,can clone,1,True,no,9,string,string,25473707
5551,75463,clone ID,1,True,0,8,int,string,25473707
5634,76964,????????,0,False,1,8,int,string,25602886
5637,77119,????????anakin,0,False,1,14,int,string,25602886
5642,77269,Player 2 Score,2,True,1,14,int,string,25720451
