varname,projectid
lzomm,98
pre,98
questions,98
return,98
right,98
tile type,98
??? highscore,97
dirs,97
turns,97
boss health,96
buy_price,96
cat falling speed,96
visited?,96
5,95
??? whofinished,95
??? whoplayed,95
c1,95
chose2,95
currentfrogs,95
foundedfrogs,95
guessnumber,95
answers,94
club_place,94
e,94
iii,94
my club,94
nivel,94
scroll y,94
stars,94
vx,94
bullets,93
enemy hp,93
_dir,92
bounce count,92
cash,92
feeling,92
gold,92
num,92
ssj,92
width,92
~~zfl: my pen sat,92
~~zfl: my pen shade,92
_freeze,91
_health,91
_vang,91
_z,91
canhelp,91
collide?,91
colors,91
dac,91
framemul,91
girth,91
lastcol,91
lifts,91
lookv,91
madelift,91
maze2,91
mazey1,91
mazey2,91
myheight,91
sl_frames,91
sl_nxtfps,91
sl_x,91
slgd_dist,91
staircount,91
days,90
_emul,89
countdown,89
cy,89
entities,89
error,89
list,89
list item,89
playing,89
puntaje,89
ares,88
best score,88
bored,88
computer,88
gx,88
last,88
touching,88
username,88
velocityx,88
_hit id,87
_shoot,87
ang,87
chat param,87
chatmode,87
chatscroll,87
dead?,87
depthid,87
fchatidx,87
key index,87
keysdown,87
new keys,87
puntuaci??n,87
rci,87
shoot wait,87
ssi,87
ssk,87
ssmatch?,87
ssmx,87
winner,87
_resolution,86
edead,86
ehit,86
eoffset,86
eshoot,86
laststepidx,86
mp,86
name tags,86
respawn time,86
shake,86
stepincline,86
sway,86
tagoffset,86
toolcheight,86
toolheight,86
y2,86
c index,85
math,85
p1,85
prev_length,85
$,84
?val,84
cos,84
ive been hit by,84
t3,84
tile #,84
typ,84
wall jump,84
_ldata,83
age,83
best,83
camerax,83
chat,83
aciertos,82
alive,82
filtered,82
hit player,82
mate,82
player height,82
player width,82
symbol,82
tile is solid,82
your score,82
airtime,81
costume#,81
grav,81
grow,81
intro,81
save,81
scene,81
change,80
event,80
nv,80
player 2 health,80
save game,80
target,80
time of day,80
vehicle,80
brightness,79
busy,79
clicked,79
dirt,79
gamestate,79
music?,79
physics,79
puntuaci??,79
cameray,78
class,78
frames,78
lastx,78
mat,78
player 1 health,78
step,78
tile index,78
xchange,78
around,77
basketball falling speed,77
bright,77
chat timer,77
inv_change,77
poeng,77
sa,77
sine,77
tempo,77
toolmode,77
8,76
?,76
bounce,76
digtime,76
find slot id,76
last tree x,76
level #,76
mul,76
named,76
profile_hair,76
reach,76
tmul,76
buffid,75
bufftime,75
cps,75
fall height,75
falling,75
hoverid,75
ignore echo,75
inside idx,75
invincible,75
last user,75
letter#,75
lifetick,75
mouserelease,75
note,75
ownerdist,75
peaceful?,75
player hit time,75
player max health,75
read snapshot id,75
recepestr,75
recipe offset,75
rmul,75
say time,75
shoot,75
snapshot id,75
sort,75
specialkey,75
stations,75
tile say,75
tmplist,75
tok_i,75
tool type,75
tooldrag,75
ty,75
der,74
size vel,74
??????????????,73
alphabet,73
amount,73
block,73
kit,73
lev_a,73
lev_dy,73
lev_y,73
pid,73
pnt#,73
scoreboard,73
snd,73
tch_d,73
word,73
mf,72
thirst,72
360,71
_levels,71
acceleration direction,71
accforce,71
actual dir,71
best rank,71
break neck,71
edit_idx,71
end?,71
head touching,71
item_max,71
item_min,71
levelbez,71
liquid,71
maxrotspeed,71
month,71
new items#,71
rotating velocity,71
wheelietime,71
x1,71
??? gamedata,70
aggressive,70
breath,70
clone #,70
day,70
digtype,70
gasp,70
howfartogo,70
in liquid,70
liquidignore,70
mouse_pressed,70
nextliquid,70
rotation,70
space_fire,70
started?,70
tok,70
values,70
+,69
??,69
_solidlight,69
cyclelava,69
last buff,69
placetimer,69
ridx,69
show console,69
blue score,68
cursor visible,68
gf,68
grid_x,68
grid_y,68
next tile say,68
nxtghost,68
p2,68
pen size,68
?????????????????????,67
achievements,67
chars,67
grid_sx,67
grid_sy,67
idle,67
left,67
location,67
minimapx,67
minimapy,67
red score,67
suffixes,67
targetx,67
targety,67
training,67
wave,67
6,66
cid,66
code,66
digits,66
gameover?,66
gamestatetimer,66
placetype,66
rep,66
row,66
score 2,66
spacing,66
thirsty,66
yspeed,66
door,65
fallspeed,65
ghostson,65
lc,65
pacmandead,65
positions,65
px,65
tempcostume,65
used-no.,65
defense,64
desireddir,64
invulnerable,64
marcador,64
player score,64
punteggio,64
switches,64
xp,64
counter!,63
ghostalive,63
ghostdir,63
ghostspeed,63
hitwall,63
injail,63
levelno,63
line length,63
noofdots,63
pacmandir,63
pacmanspeed,63
powerpillon,63
random,63
tileidx,63
attacking,62
down,62
fruiton,62
hastighet,62
key,62
pillnumber,62
place,62
screen,62
shade,62
thisghostspeed,62
zombie health,62
ball,61
by,61
personal best,61
pontos,61
rating,61
repeat,61
shield,61
slown: meter,61
slown: tutorial,61
tid,61
upgravity,61
counter2!,60
levels,60
mistakes,60
output,60
player 1 jump,60
player 1 weapon type,60
player 2 weapon type,60
previous y,60
printing done?,60
temp length,60
coffee,59
currentletter,59
floor,59
player 1 momentum,59
player 2 jump,59
player 2 momentum,59
slown: bar,59
slown: spike,59
spinning,59
theta,59
times,59
var1,59
??? worldwide coffees,58
??? worldwide coffeeteas,58
??? worldwide hotchoccoffees,58
??? worldwide hotchocs,58
??? worldwide hotchocteacoffees,58
??? worldwide hotchocteas,58
??? worldwide teas,58
cam,58
delay,58
falling speed,58
fishland saved,58
forest village saved,58
hot chocolate,58
master lucky's life,58
ox,58
pl life,58
shots,58
slown: ball,58
slown: ballg,58
slown: difficulty,58
slown: gems,58
times talked to,58
usernames,58
vs,58
wins,58
bb,57
bx,57
clone count,57
clone#,57
mate?,57
minutes,57
pos,57
score2,57
slown: shop,57
slown: speed,57
spawny,57
tea,57
tijd,57
tile,57
up,57
xspeed,57
am,56
cost,56
getreadygravity,56
h,56
next,56
population,56
set score,56
slown: bally,56
spawnx,56
vida,56
acceleration,55
anfreaka life,55
birdstats,55
colour,55
down gravity,55
flash,55
motion,55
null,55
numbers,55
powerup visible,55
scoreanimation,55
anglex,54
counter2,54
gameoverbestscoreclone,54
gameoverscoreclone,54
isblock,54
menugravity,54
punkte,54
ready,54
scoregraduatlely,54
shop,54
vie,54
wrong,54
bestscore,53
fade,53
fresh kill,53
game mode,53
gems,53
grandmas,53
hp:,53
loading,53
map?,53
music status,53
panda,53
rings,53
??? houchdj,52
??? houchdjimpossible,52
impossiblebest,52
laps,52
lowercase?,52
player y,52
q,52
walk,52
battle on?,51
clan,51
don't update?,51
fallos,51
freeze,51
gates,51
grid,51
happiness,51
invasion,51
jump left,51
key pressed?,51
knowledge,51
launches,51
level#,51
lol,51
moves,51
touching color?,51
x tile,51
y tile,51
_mobs,50
b y\/n,50
burnstar's health,50
can attack,50
confirm,50
czas,50
foe's health,50
friction,50
frozen,50
golden name,50
incorrect,50
keys - locations,50
keys - x,50
keys - y,50
kit?,50
name y\/n,50
p2 score,50
playable,50
punti,50
strenght,50
tries,50
y1,50
~isbt1,50
1,49
@inrange,49
@issolid,49
@type,49
_buckets,49
_throw,49
bodysize,49
bs,49
bucket id,49
bucket set,49
c?,49
camera.up,49
camerafacing?,49
careful,49
cat,49
clonetype,49
cmd_analyze,49
cmd_analyze_2,49
cmd_settings,49
command_line,49
diegravity,49
do_plus,49
edit mode,49
flamey,49
follow weight,49
good nutrition points,49
green,49
in_cmd,49
max_mobs,49
message,49
mob #,49
nocontrol,49
options,49
project_uploader,49
punchreach,49
puntuacion,49
range,49
save code,49
scorenumber,49
second,49
speed2,49
statustime,49
ttype,49
walkbase,49
working,49
zeit,49
_nextspawnid,48
_spawned,48
_spawnedcount,48
_tdmul,48
_tospawn,48
attack pattern,48
attempts,48
auto_pause,48
bell,48
black_fade,48
bz,48
chance,48
charriesheet?,48
checking,48
delete clones,48
foxy,48
golednasked?,48
health_recharge_delay,48
hit clicked,48
hitplayer,48
i1,48
layer,48
lvl,48
mass,48
move #,48
mute,48
next recharge,48
passengers,48
player 2 points,48
punch_radius,48
pxv,48
scr_sx,48
scr_sy,48
spawndir,48
titlegravity,48
update iterations,48
2ddir,47
_shakesy,47
_weapon,47
area,47
batlight's health,47
char,47
elevator floor,47
get_angle,47
input,47
last score,47
leaderboard,47
letter detect,47
limit_max_x,47
limit_min_x,47
max ammo,47
moonstar's health,47
mouseup,47
neg,47
p1 score,47
playing?,47
scorechanger,47
season,47
sizechange,47
time:,47
top,47
trion?,47
trophies,47
water,47
x3,47
x_onquad,47
y_onquad,47
~in range?,47
0,46
@#,46
_music,46
_score_ai,46
_score_player,46
_was_hit,46
_weapons,46
act,46
ai_precision,46
ai_precision_show,46
base#,46
battle begin?,46
batty?,46
board_on,46
board_x,46
board_y,46
boardx,46
boardy,46
border_colors,46
camera_mode_index,46
camera_mode_ref,46
can jump?,46
collect #,46
collect time,46
colors.tmp,46
degrade,46
downpressed,46
downtime,46
elevator height,46
elevator occupancy,46
elevator velocity,46
facing.tmp,46
in platforrm,46
invunerable,46
max_collects,46
mid,46
move?,46
move_ball,46
mtyp,46
pagers,46
pagetime,46
pagetimer,46
person sprite order,46
player 1 points,46
player x,46
pre_bx,46
pre_bz,46
quad_on_board_x,46
quad_on_board_y,46
result,46
retype!,46
rotation_around_center,46
score_give,46
seen instructions?,46
skulls,46
stars_timeout,46
thing,46
times_used,46
y scroll,46
..,45
7,45
??? world high score,45
crazyness,45
dlidle?,45
game_mode,45
go,45
gun power,45
hide,45
inv,45
keypressed,45
live,45
lose,45
ml,45
numbananas,45
outro stuff,45
radius,45
seasonn,45
tutorial,45
z2,45
_saved_levels,44
boost,44
coin,44
contador,44
cutting?,44
dunked on,44
my x,44
pontua????o,44
rot,44
select,44
stuff,44
symbols,44
terrain,44
topx,44
topy,44
~number,44
 ,43
??? players,43
active,43
bold,43
can_place,43
click,43
clicky,43
controls,43
enemy,43
flying,43
gamespeed,43
gun,43
jumping?,43
lasercharge,43
next scr y,43
platform level,43
player1,43
pokemon,43
restart,43
scale,43
ycollision,43
apple,42
background,42
blood color,42
bullet far,42
bullet time,42
busy_placing,42
changing_y,42
cheats used?,42
cleaningpower,42
computer score,42
current bullets,42
fails,42
farms,42
footstep,42
frames per second,42
ghost end text,42
grenade taken,42
grenade x velocity,42
grenade y velocity,42
hide bullets,42
in game lag,42
inaccurate bullet,42
jump unlocked,42
launchspeed,42
level done?,42
levens,42
mangle,42
music_on,42
object_selected,42
particles,42
peep_centralizes,42
peep_cooldowns,42
peep_destinations,42
peep_destinations_ids,42
peep_direction,42
peep_happiness,42
peep_x,42
peep_y,42
per second,42
player wins,42
raygun unlocked,42
showed,42
skip!,42
speed unlocked,42
tile_selected,42
toolbar_selected,42
track_selected,42
weapon costume,42
which cheat,42
which enemy,42
y_repeat,42
yes,42
4j,41
??? highestpop,41
??? highestrating,41
??? mostcash,41
??? mostparking,41
??? mostpaths,41
??? mostrides,41
??? mostshops,41
_coins,41
admission_price,41
cash_selected,41
ci,41
clickx,41
cloud list,41
current_earnings,41
current_spendings,41
degrees,41
destination_entrances,41
destination_types,41
destroys,41
dog,41
drop_frame,41
fire,41
game_speed,41
goal,41
guest_behaviour,41
guests_who_left_happy,41
guests_who_left_sad,41
hair,41
jumped?,41
lakeon\/off,41
lasercharge2,41
last_complaint,41
last_month's_earnings,41
last_month's_spending,41
last_speed,41
liv,41
los,41
map_size selected,41
mask.up,41
meme,41
menu_screen,41
monitor,41
moved,41
oround,41
p1 health,41
p1 hp,41
paid?,41
park_name,41
park_rating,41
park_scenery,41
park_trash,41
parkings,41
pathing,41
pathtotal,41
paused,41
peep_hungers,41
peep_selected,41
peep_tiles,41
peep_times,41
peep_toilets,41
peep_types,41
plus_factor,41
pool_length,41
population_capacity,41
population_desired,41
punchs,41
render_guests,41
repetoire,41
reset,41
river_type,41
saved_tiles,41
sky_clicked,41
sound_on,41
spacepressed,41
spawn_cooldown,41
t_select,41
temprepeat,41
timebetweenzombies,41
totalrides,41
totalshops,41
weather,41
world_path_distances,41
world_paths,41
world_peepids,41
world_tiles,41
x scroll,41
yid,41
_lives,40
animation,40
cashid,40
enemies,40
fov,40
frequency,40
game :,40
horzvelocity,40
load,40
maxspeed,40
mine,40
month_cooldown,40
no,40
p2 health,40
peepid,40
pen,40
play?,40
player2,40
puppet,40
score1,40
turn speed,40
xglide,40
??? whosplayed,39
ball speed,39
bonus,39
exp,39
h\/t?,39
komputer,39
levelcomplete,39
my note,39
open,39
operation,39
password,39
set,39
snelheid,39
thumb,39
#2,38
boom,38
camera x,38
capslock,38
charge,38
computer wins,38
control,38
cx,38
entries,38
fun,38
gamewon,38
head,38
odp,38
rotz,38
shoes,38
show names,38
ties,38
underline,38
wordlengths,38
beat,37
blah,37
camera.up?,37
charindex,37
clock,37
first visit,37
grade,37
italics,37
letternumber,37
letterspots,37
office code,37
oldbonnie,37
oldchica,37
outcome 2 clicks,37
rule #,37
run,37
screenstatus,37
stamina,37
toybonnie,37
toychica,37
up\/down magic,37
app,36
camera y,36
checkingonly,36
del,36
distances,36
empties,36
freeids,36
hi,36
jugador 1,36
menu?,36
merging,36
midair,36
names,36
next level,36
officemainhallflickers,36
oldfreddy,36
orange,36
outcome 1 clicks,36
prev,36
puppetstatus,36
rotate,36
started,36
store,36
toyfreddy,36
x_x,36
%,35
armor,35
asy,35
clonecount,35
double jump,35
float,35
happy,35
help,35
hours,35
hurt,35
no.,35
onground,35
orders,35
pants,35
phase,35
playerxvel,35
shadow,35
shirts,35
shown,35
sleeping mode,35
spin direction,35
usernameselect,35
xs,35
blocks,34
clone atrtake,34
collision,34
control lock,34
debug check,34
dots,34
factories,34
fish,34
limit,34
midair pending,34
modo,34
moveable,34
number of players,34
playeryvel,34
r\/l,34
rock-no.,34
rotx,34
speed 2,34
temperatura,34
walk?,34
x midair,34
#1,33
_,33
acc,33
apples,33
bird.flap,33
bird.gravity,33
bird.play,33
crazybonnie x,33
dragging,33
effect,33
enemytype,33
game.scrollx,33
gamemode,33
jumpheight,33
min,33
mission,33
multiplier,33
pipe.new,33
score 1,33
score!,33
suma,33
talking,33
touchingwall,33
track,33
turn counter,33
user.score,33
wood,33
10,32
__cl:script1,32
__cl:script2,32
__cl:script3,32
__cl:script4,32
__cl:script5,32
_cl:index,32
_cl:return,32
_cl:status,32
_cl:tmp,32
_cl:tmplist,32
_talkmode,32
battle,32
encode.username,32
flap.speed,32
game.mode,32
game.pause,32
grandmacount,32
hour,32
jugador 2,32
jump speed,32
movement speed,32
ninja stars,32
opt,32
pisteet,32
position y,32
puan,32
punktid,32
punten,32
resistance,32
speech,32
talktimeout,32
team,32
title,32
user.earnmedal,32
user.sethighscore,32
x-velocity,32
11,31
????????????????????,31
_cl:digits,31
_speed,31
bobvel,31
can,31
costume #,31
cz,31
enemy dead,31
enemy type,31
enemyhealth,31
enemyspeed,31
factorycount,31
leben,31
mode?,31
my,31
n2,31
player pick,31
punch,31
sentence,31
skip?,31
space,31
spawn,31
stagecode,31
u,31
wall,31
walljump?,31
xonic size,31
y3,31
_sellprice,30
costumeable,30
direction forreal,30
effects,30
enemyx,30
even extra more velocity,30
even more velocity,30
fight,30
goals,30
guesses,30
jackets,30
loaded,30
more velocity,30
musica decidamatron,30
on ride thing,30
player name,30
protection,30
save data,30
score list,30
spawn x,30
spawn y,30
starcount,30
thrust,30
types,30
variable 1,30
wynik,30
2??? ?????????,29
??? ??????,29
????????? ??????,29
_cl:tmp2,29
_temp,29
back,29
beastlife,29
carspeed,29
cats,29
clickers,29
clone number,29
colours,29
data list,29
ded,29
done?,29
elixir,29
firlife,29
flappable,29
half,29
health2,29
keys,29
mousex,29
mousey,29
num1,29
num2,29
p2 hp,29
recent_collision,29
run speed,29
selected,29
selected item,29
spinny,29
stopped?,29
sun,29
supportclones,29
tempx,29
velocit??,29
vitesse,29
9,28
????????????????,28
????????????????????????,28
_savemydata,28
armvel,28
belts,28
bombs,28
camera angle,28
ch??opiec,28
costumenumber,28
deleteclones,28
dmg,28
element,28
enemy level,28
explosion,28
flaps,28
game active,28
hit2,28
me index,28
music volume,28
notes_on\/off?,28
number 2,28
numero,28
"okay, go",28
one bajillion fartburrgers,28
penguin,28
price,28
running,28
speedy,28
stack,28
time survived,28
time taken,28
timeleft,28
total score,28
vely,28
version,28
weapons unlocked,28
who list,28
whoidx,28
youx,28
???????? ????????????????,27
?????????? ?????? ????????????,27
?????????????? ????????????,27
acceso,27
agtvturn,27
bananas,27
bb-8?,27
bigenemy,27
cd1,27
cd2,27
cd3,27
cd4,27
cd5,27
cd6,27
cd7,27
combo,27
current number,27
deathdirection,27
delete,27
earnmoney,27
echipy,27
ending,27
enemy place x,27
enemy place y,27
enemy yv,27
enemyshooty,27
factory,27
farm,27
giantenemy,27
hearts,27
heath,27
high,27
indiv. yup hurt,27
lifeid,27
next night,27
playerspeed,27
roady,27
scan,27
score board,27
tentativas,27
textletter,27
title cards,27
tortch to sense hit number,27
turn #,27
turnvel,27
velx,27
vite,27
xxx,27
yourarmyhp,27
yourshooty,27
ys,27
>,26
???????????????????????????,26
arrows,26
ballspeed,26
counter1,26
deltay,26
display,26
enemy base hp,26
finish,26
hidden,26
invert,26
jumps,26
level:,26
lines,26
lives:,26
newscratcherval,26
numerator,26
play all,26
player mode,26
posx,26
sans health,26
scratcherval,26
shooting,26
shootspeed,26
showing,26
sin2,26
stone,26
success,26
tab number opened,26
time remaining,26
time2,26
timer2,26
times spared,26
vol,26
was hit,26
windows,26
y_speed,26
yscroll,26
yyy,26
??? time,25
_music_on,25
_sound_on,25
a x,25
a y,25
all stop,25
backgroundx,25
backgroundy,25
basecostume,25
bh,25
bizitzak,25
boostttl,25
bosshp,25
camerahit,25
camy,25
cheese,25
clipx1,25
clipx2,25
clipy1,25
clipy2,25
collisionradius,25
contatore,25
cosrotx,25
cosrotz,25
darkenergy,25
darkenergyloop,25
deathstarkernelcolor,25
deathstarkernelhealth,25
deathstarkernelphase,25
enemycount,25
events,25
exploded,25
fall speed,25
fill,25
flapping,25
frametime,25
hit?,25
hitenemyshoot,25
hitlightning,25
idle?,25
l2,25
lboostx,25
lboosty,25
lboostz,25
lfps,25
licznik,25
lkernelphy,25
lkernelphyspeed,25
lkerneltheta,25
lkernelthetaspeed,25
llightningx,25
llightningy,25
lobjectttl,25
lstarphy,25
lstartheta,25
lstarthetamod360,25
lstarx,25
lstary,25
lstarz,25
lzorderedbx,25
lzorderedby,25
lzordereddz,25
lzorderedobjectids,25
music no.,25
myrole,25
n1,25
nextan,25
normalizerloop,25
objectnumber,25
objects,25
objectshot,25
objectttl,25
p_speed,25
playerposition,25
pont,25
portal,25
previan,25
probability,25
question number,25
retry,25
se tocaron,25
sidemove,25
sides,25
sinrotx,25
sinrotz,25
sounds,25
star,25
start?,25
stopdrawline,25
switch,25
task delay,25
temp1,25
terraincolor,25
terrainshade,25
time seconds,25
title scale,25
twitch,25
window number,25
won,25
x-base,25
your base hp,25
yourmoney,25
znumber,25
zorderedcount,25
???????????? ?? ???????????? ????????????,24
?????????????? ???????????? ?? ???????????? ??????????,24
?????????????? ???????????? ?? ???????????? ??????????????,24
?????????????? ???????????? ???????????????? 1,24
?????????????? ???????????? ???????????????? 2,24
?????????????? ???????????? ???????????????? 3,24
?????????????? ???????????? ???????????????? 4,24
_added waits,24
_cutstage,24
_debug_level,24
_design,24
_diedir,24
_f1,24
_fpccount,24
_lastlevx,24
_levelcreate,24
_levelno,24
_monstercreate,24
_pan,24
_platsx,24
_restore,24
_shakey,24
_skipped frames,24
_textcreate,24
_tileid,24
_tileindex,24
a z,24
a#,24
achieved,24
anim done,24
athit,24
athit_m,24
b x,24
b y,24
b z,24
backgroundname,24
backgroundsizefactor,24
backgroundz,24
birth,24
blockwidth,24
braintakedistance,24
bw,24
c x,24
c y,24
c z,24
canglex,24
cangley,24
canglez,24
check point x,24
check point y,24
collected,24
compassx,24
compassy,24
control eggman,24
control knuckles,24
controlinvertyaxis,24
controlmethod,24
controltails,24
current gun,24
displaycockpit,24
drawingdistance,24
enemyalivecount,24
enemymousex,24
enemymousey,24
escapers,24
flag,24
footsound,24
fuzz,24
game over?,24
gear,24
ghost wail ,24
go!,24
good,24
hand,24
hyperdrive,24
is jumping?,24
isalive,24
jumptime,24
kernelenergy,24
knuckles music stops,24
lap,24
